GCA_019670975.1	Acidiella bohemica
GCA_028476805.1	Acrocalymma vagum
GCA_033807595.1	Acrodontium crateriforme
GCA_016098155.1	Actinomortierella ambigua
GCA_016098105.1	Actinomortierella wolfii
GCA_026027325.1	Actinomucor elegans
GCA_004216415.1	Aeminium ludgeri
GCA_038094355.1	Afroboletus lepidellus
GCF_000300575.1	Agaricus bisporus var. bisporus H97
GCA_000300575.2	Agaricus bisporus var. bisporus H97
GCA_030246685.1	Agaricus bitorquis
GCA_029719445.1	Agaricus blazei
GCA_022315185.1	Agaricus sinodeliciosus
GCA_029945375.1	Agaricus subrufescens
GCA_041475395.1	Agroathelia delphinii
GCA_018343915.1	Agroathelia rolfsii
GCA_027627235.1	Agrocybe chaxingu
GCA_013053245.1	Agrocybe pediades
GCA_964017145.1	Agrocybe praecox
GCA_022814335.1	Agyrium rufum
GCA_030783385.1	Akanthomyces dipterigenus
GCA_001636795.1	Akanthomyces lecanii RCEF 1005
GCF_028009165.1	Akanthomyces muscarius
GCA_030778065.2	Akanthomyces uredinophilus
GCA_003314395.1	Albatrellus ellisii
GCA_020081605.1	Albifimbria verrucaria
GCA_001600555.1	Albophoma yamanashiensis
GCA_043388365.1	Albopleistophora grylli
GCA_905337325.1	Alectoria fallacina
GCA_964257205.1	Alectoria ochroleuca
GCA_964255965.1	Alectoria sarmentosa
GCA_024752435.1	Allantophomopsis cytisporea
GCA_024752465.1	Allantophomopsis lycopodina
GCA_030581615.1	Alloascoidea africana
GCA_001600815.1	Alloascoidea hylecoeti
GCA_030565225.1	Allodekkera sacchari
GCA_027604705.1	Allomyces arbusculus
GCA_027604645.1	Allomyces javanicus
GCA_000151295.1	Allomyces macrogynus ATCC 38327
GCA_037044435.1	Alternaria alstroemeriae
GCA_036971565.1	Alternaria alternarina
GCF_001642055.1	Alternaria alternata
GCA_022814545.1	Alternaria angustiovoidea
GCF_004154835.1	Alternaria arborescens
GCF_024043155.1	Alternaria arbusti
GCF_907166805.1	Alternaria atra
GCA_036768465.1	Alternaria brassicae
GCA_002796735.1	Alternaria brassicicola
GCF_013036055.1	Alternaria burnsii
GCA_047302185.1	Alternaria chlamydospora
GCF_024043145.1	Alternaria conjuncta
GCA_001950455.1	Alternaria consortialis
GCF_042100115.1	Alternaria dauci
GCA_037044395.1	Alternaria destruens
GCF_023757985.1	Alternaria ethzedia
GCA_004156025.2	Alternaria gaisen
GCA_009289805.1	Alternaria gansuensis
GCF_023758085.1	Alternaria hordeiaustralica
GCF_024043165.1	Alternaria incomplexa
GCF_024043175.1	Alternaria infectoria
GCA_047834895.1	Alternaria linariae
GCA_019059555.1	Alternaria longipes
GCF_023757995.1	Alternaria metachromatica
GCF_023758075.1	Alternaria novae-zelandiae
GCA_040583965.1	Alternaria oregonensis
GCA_019702505.1	Alternaria panax
GCA_029783965.1	Alternaria porri
GCF_024291825.1	Alternaria postmessia
GCA_050230835.1	Alternaria radicina
GCF_020736505.1	Alternaria rosae
GCA_002952155.1	Alternaria solani
GCA_041430775.1	Alternaria tenuissima
GCF_023758025.1	Alternaria triticimaculans
GCA_040583995.1	Alternaria triticina
GCF_023758065.1	Alternaria ventricosa
GCF_023758015.1	Alternaria viburni
GCA_030386735.1	Alternosema astaquatica
GCA_026054675.1	Alyxoria varia
GCA_001983365.1	Amanita bisporigera
GCA_001691785.3	Amanita brunnescens Koide BX004
GCA_023014455.1	Amanita exitialis
GCA_023014435.1	Amanita fuliginea
GCA_001691775.3	Amanita inopinata Kibby_2008
GCA_000497225.1	Amanita jacksonii TRTC168611
GCA_023014405.1	Amanita molliuscula
GCA_000827485.1	Amanita muscaria Koide BX008
GCA_023014475.1	Amanita pallidorosea
GCA_032173475.1	Amanita phalloides
GCA_001691755.2	Amanita polypyramis BW_CC
GCA_003316615.1	Amanita pseudoporphyria
GCA_023014395.1	Amanita rimosa
GCA_965266955.1	Amanita rubescens
GCA_020011035.1	Amanita subjunquillea
GCA_002554575.1	Amanita thiersii Skay4041
GCA_001430945.1	Amauroascus niger
GCA_001430935.1	Amauroascus verrucosus
GCA_910591945.1	Ambispora gerdemannii
GCA_910591765.1	Ambispora leptoticha
GCA_030294605.1	Ambrosiella beaveri
GCA_017139545.1	Ambrosiella cleistominuta
GCA_050613645.1	Ambrosiella roeperi
GCA_002778035.1	Ambrosiella xylebori
GCA_003705185.2	Ambrosiozyma ambrosiae
GCA_030567475.1	Ambrosiozyma angophorae
GCA_030579935.1	Ambrosiozyma cicatricosa
GCA_030572235.1	Ambrosiozyma kamigamensis
GCA_001599075.1	Ambrosiozyma kashinagicola
GCA_030568425.1	Ambrosiozyma llanquihuensis
GCA_003706635.2	Ambrosiozyma maleeae (nom. inval.)
GCA_001599995.1	Ambrosiozyma monospora
GCA_030567495.1	Ambrosiozyma neoplatypodis
GCA_003706315.3	Ambrosiozyma oregonensis (nom. inval.)
GCA_003707675.3	Ambrosiozyma philentoma
GCA_030557395.1	Ambrosiozyma platypodis
GCA_003707895.3	Ambrosiozyma pseudovanderkliftii
GCA_003705225.2	Ambrosiozyma vanderkliftii
GCA_004802645.1	Amesia nigricolor
GCA_010015725.1	Amniculicola lignicola CBS 123094
GCA_018985225.1	Amoeboradix gromovi
GCF_003019875.1	Amorphotheca resinae ATCC 22711
GCA_018398575.1	Ampelomyces quisqualis
GCA_004123355.1	Amphirosellinia nigrospora
GCA_019669835.1	Amylocarpus encephaloides
GCA_022376435.1	Amylocystis lapponica
GCA_036971615.1	Amyloporia xantha
GCA_012932865.1	Amylostereum areolatum
GCA_022385825.1	Amylostereum chailletii
GCA_002104895.1	Anaeromyces robustus
GCA_045281415.1	Anguillospora crassa
GCA_038502455.1	Anisogramma anomala
GCA_000385875.2	Anncaliia algerae PRA339
GCA_963924275.1	Annulohypoxylon annulatum
GCA_022836615.1	Annulohypoxylon bovei var. microspora
GCF_022496945.1	Annulohypoxylon maeteangense
GCA_022695765.1	Annulohypoxylon moriforme
GCA_022496965.1	Annulohypoxylon nitens
GCA_040126005.1	Annulohypoxylon stygium
GCF_022578515.1	Annulohypoxylon truncatum
GCA_010623925.1	Antarctomyces pellizariae
GCA_963556695.1	Anthostomella pinea
GCA_046718355.1	Anthracina ramosa
GCA_014826065.1	Anthracocystis panici-leucophaei
GCA_928724745.1	Anthracocystis setariae
GCA_928858565.1	Anthracocystis walkeri
GCA_007674295.1	Antonospora locustae
GCA_004802725.1	Antrodiella citrinella
GCA_964254895.1	Anzia colpodes
GCA_015345905.1	Aotearoamyces nothofagi
GCA_014839905.1	Aphanoascus verrucosus
GCA_029218145.1	Aphanocladium album
GCA_030549205.1	Apiosordaria backusii
GCA_039105305.1	Apiospora arundinis
GCF_038362705.1	Apiospora aurea
GCA_040333125.2	Apiospora guizhouensis
GCF_038363865.1	Apiospora hydei
GCF_038363985.1	Apiospora kogelbergensis
GCA_017163955.1	Apiospora koreana
GCA_006508115.1	Apiospora malaysiana
GCF_038362585.1	Apiospora marii
GCF_038363925.1	Apiospora phragmitis
GCA_019976485.1	Apiospora pterosperma
GCA_038363885.1	Apiospora rasikravindrae
GCA_038363915.1	Apiospora saccharicola
GCA_040366785.1	Apiospora sphaerosperma
GCA_002973495.1	Apiotrichum akiyoshidainum
GCA_001600295.1	Apiotrichum brassicae
GCA_040285315.1	Apiotrichum cacaoliposimile
GCA_001599015.1	Apiotrichum domesticum
GCA_001600315.1	Apiotrichum gamsii
GCA_001600335.1	Apiotrichum gracile
GCA_001600735.1	Apiotrichum laibachii
GCA_048772795.1	Apiotrichum loubieri
GCA_001598995.1	Apiotrichum montevideense
GCA_013177335.1	Apiotrichum mycotoxinovorans
GCF_003942205.1	Apiotrichum porosum
GCA_023653615.1	Apiotrichum siamense
GCA_001600595.1	Apiotrichum veenhuisii
GCF_010093885.1	Aplosporella prunicola CBS 121167
GCA_033439685.1	Apodospora peruviana
GCA_000696995.1	Apophysomyces elegans B7760
GCA_014839865.1	Apophysomyces ossiformis
GCA_000696975.1	Apophysomyces trapeziformis B9324
GCA_002749535.1	Apophysomyces variabilis
GCA_003415625.1	Aquanectria penicillioides
GCA_949709995.1	Arachnomyces peruvianus
GCA_003988855.1	Arachnopeziza araneosa
GCA_022818075.1	Armillaria altimontana
GCA_030435635.1	Armillaria borealis
GCA_043748625.1	Armillaria calvescens
GCA_900157415.1	Armillaria cepistipes
GCA_030407015.1	Armillaria fumosa
GCA_001679825.1	Armillaria fuscipes
GCA_037576215.1	Armillaria gallica
GCA_030435615.1	Armillaria luteobubalina
GCA_030407055.1	Armillaria mellea
GCA_030407065.1	Armillaria nabsnona
GCA_030435655.1	Armillaria novae-zelandiae
GCA_902506015.1	Armillaria ostoyae
GCA_040085025.1	Armillaria sinapina
GCA_022818035.1	Armillaria solidipes
GCA_002989075.1	Arthonia radiata
GCA_964256465.1	Arthonia rubella
GCA_964256665.1	Arthonia susa
GCA_964255825.1	Arthothelium ruanum
GCA_006503535.1	Arthrinium phaeospermum
GCA_022414665.1	Arthrinium puccinioides
GCA_036971725.1	Arthrobotrys conoides
GCA_012184315.1	Arthrobotrys entomopaga
GCF_004000055.1	Arthrobotrys flagrans
GCA_036971165.1	Arthrobotrys iridis
GCA_036971655.1	Arthrobotrys megalospora
GCA_036971715.1	Arthrobotrys musiformis
GCA_036971205.1	Arthrobotrys pseudoclavata
GCA_036971225.1	Arthrobotrys sinensis
GCA_036971245.1	Arthrobotrys sphaeroides
GCA_003614865.1	Arthrocladium fulminans
GCF_011692745.1	Arthroderma uncinatum
GCA_018855395.1	Arthromyces matolae
GCA_003415645.1	Articulospora tetracladia
GCA_022160305.1	Artomyces pyxidatus
GCA_023309525.1	Arxiozyma bovina
GCF_036370985.1	Arxiozyma heterogenica
GCA_042140155.1	Arxiozyma pintolopesii
GCA_017347545.2	Arxiozyma slooffiae
GCA_030571675.1	Arxiozyma telluris
GCA_003788565.2	Ascobolus immersus RN42
GCA_030573245.1	Ascobotryozyma americana
GCA_030565755.1	Ascobotryozyma cognata
GCA_027946445.1	Ascochyta clinopodiicola
GCA_004335285.1	Ascochyta fabae
GCA_026119515.1	Ascochyta koolunga
GCA_016097375.2	Ascochyta lentis
GCA_039634435.1	Ascochyta pisi
GCF_004011695.2	Ascochyta rabiei
GCA_004335155.1	Ascochyta viciae
GCA_004335205.1	Ascochyta viciae-villosae
GCA_000328965.1	Ascocoryne sarcoides NRRL 50072
GCA_004786065.1	Ascodesmis nigricans
GCA_027569015.1	Ascodesmis sphaerospora
GCA_001600695.1	Ascoidea asiatica
GCF_001661345.1	Ascoidea rubescens DSM 1968
GCA_030560485.1	Ascoidea tarda (nom. inval.)
GCA_024244165.1	Ascosphaera acerosa
GCA_024244195.1	Ascosphaera aggregata
GCA_001636715.1	Ascosphaera apis ARSEF 7405
GCA_024244595.1	Ascosphaera atra
GCA_024244615.1	Ascosphaera pollenicola
GCF_003184765.1	Aspergillus aculeatinus CBS 121060
GCF_001890905.1	Aspergillus aculeatus ATCC 16872
GCF_023601865.1	Aspergillus affinis
GCA_037043995.1	Aspergillus aflatoxiformans
GCF_009176365.1	Aspergillus alliaceus
GCF_047715705.1	Aspergillus ambiguus
GCA_023624915.1	Aspergillus amoenus
GCA_027569315.1	Aspergillus amstelodami
GCA_047496425.1	Aspergillus annui
GCA_009193545.1	Aspergillus arachidicola
GCA_044706995.1	Aspergillus aspearensis
GCA_027569075.1	Aspergillus asperescens
GCA_047715765.1	Aspergillus aurantiobrunneus
GCA_037043805.1	Aspergillus austwickii
GCA_009193465.1	Aspergillus avenaceus
GCA_003850985.1	Aspergillus awamori
GCA_027569055.1	Aspergillus baeticus
